2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Auto,57,0.9535,313.9844,0.0912,0.0014,0.0031,0.0276,0.0013,0.4216,209.5573,0.0238,0.0005,0.0021,0.0116,0.0004
Auto,58,0.9391,315.7088,0.0908,0.0014,0.0031,0.0277,0.0013,0.4179,210.9429,0.0239,0.0005,0.0021,0.0118,0.0004
Auto,59,0.9248,317.4331,0.0904,0.0014,0.0031,0.0278,0.0013,0.4142,212.3284,0.0240,0.0005,0.0021,0.0120,0.0004
Auto,60,0.9104,319.1575,0.0901,0.0014,0.0032,0.0279,0.0013,0.4105,213.7139,0.0241,0.0005,0.0021,0.0122,0.0005
Auto,61,0.9102,321.1627,0.0908,0.0015,0.0032,0.0288,0.0013,0.4105,214.9073,0.0243,0.0005,0.0021,0.0127,0.0005
Auto,62,0.9099,323.1679,0.0915,0.0015,0.0032,0.0298,0.0014,0.4104,216.1006,0.0245,0.0005,0.0021,0.0131,0.0005
Auto,63,0.9096,325.1730,0.0922,0.0015,0.0032,0.0307,0.0014,0.4104,217.2939,0.0247,0.0005,0.0021,0.0135,0.0005
Auto,64,0.9093,327.1782,0.0929,0.0016,0.0032,0.0316,0.0014,0.4103,218.4873,0.0249,0.0005,0.0022,0.0140,0.0005
Auto,65,0.9090,329.1834,0.0936,0.0016,0.0033,0.0326,0.0015,0.4103,219.6806,0.0251,0.0006,0.0022,0.0144,0.0005
Auto,66,0.9328,332.1274,0.0961,0.0016,0.0033,0.0340,0.0015,0.4137,220.9470,0.0254,0.0006,0.0022,0.0147,0.0005
Auto,67,0.9566,335.0713,0.0986,0.0016,0.0033,0.0355,0.0015,0.4171,222.2134,0.0256,0.0006,0.0022,0.0149,0.0005
Auto,68,0.9804,338.0152,0.1011,0.0017,0.0033,0.0370,0.0015,0.4205,223.4798,0.0258,0.0006,0.0022,0.0152,0.0005
Auto,69,1.0041,340.9592,0.1036,0.0017,0.0034,0.0384,0.0016,0.4238,224.7463,0.0260,0.0006,0.0022,0.0155,0.0005
Auto,70,1.0279,343.9031,0.1062,0.0017,0.0034,0.0399,0.0016,0.4272,226.0127,0.0262,0.0006,0.0022,0.0157,0.0006
Truck,0,0.9305,9.0247,0.6741,0.0002,0.0002,0.0657,0.0002,0.5426,6.2184,0.8784,0.0001,0.0001,0.0216,0.0001
Truck,5,3.6942,2632.6795,8.9241,0.1305,0.0246,1.0958,0.1248,2.2343,2133.8128,7.8220,0.0104,0.0197,0.1694,0.0099
Truck,6,3.5195,2514.9122,8.2937,0.1206,0.0235,1.0078,0.1153,2.1544,2037.2309,7.2086,0.0103,0.0188,0.1668,0.0098
Truck,7,3.3449,2397.1449,7.6633,0.1107,0.0223,0.9199,0.1059,2.0745,1940.6489,6.5953,0.0101,0.0178,0.1643,0.0096
Truck,8,3.1702,2279.3775,7.0329,0.1009,0.0212,0.8319,0.0965,1.9946,1844.0670,5.9819,0.0100,0.0169,0.1617,0.0095
Truck,9,2.9956,2161.6102,6.4026,0.0910,0.0201,0.7440,0.0870,1.9147,1747.4850,5.3685,0.0099,0.0160,0.1591,0.0094
Truck,10,2.8209,2043.8428,5.7722,0.0812,0.0190,0.6560,0.0776,1.8348,1650.9031,4.7551,0.0097,0.0150,0.1566,0.0093
Truck,11,2.6205,1905.7080,5.2310,0.0737,0.0178,0.5864,0.0705,1.6377,1541.7983,4.2323,0.0095,0.0141,0.1456,0.0090
Truck,12,2.4202,1767.5732,4.6898,0.0663,0.0165,0.5169,0.0633,1.4405,1432.6935,3.7096,0.0092,0.0132,0.1347,0.0088
Truck,13,2.2198,1629.4383,4.1485,0.0588,0.0153,0.4474,0.0562,1.2434,1323.5888,3.1868,0.0090,0.0123,0.1237,0.0086
Truck,14,2.0195,1491.3035,3.6073,0.0514,0.0141,0.3778,0.0491,1.0462,1214.4840,2.6640,0.0087,0.0113,0.1128,0.0083
Truck,15,1.8191,1353.1687,3.0661,0.0440,0.0129,0.3083,0.0420,0.8490,1105.3793,2.1412,0.0085,0.0104,0.1018,0.0081
Truck,16,1.7210,1328.7488,3.0671,0.0432,0.0126,0.2863,0.0413,0.7673,1083.3925,2.1164,0.0081,0.0102,0.0899,0.0077
Truck,17,1.6228,1304.3289,3.0681,0.0424,0.0124,0.2644,0.0405,0.6856,1061.4058,2.0917,0.0077,0.0100,0.0780,0.0073
Truck,18,1.5246,1279.9090,3.0692,0.0416,0.0122,0.2424,0.0398,0.6039,1039.4190,2.0669,0.0073,0.0098,0.0661,0.0070
Truck,19,1.4265,1255.4891,3.0702,0.0409,0.0120,0.2205,0.0391,0.5221,1017.4323,2.0422,0.0069,0.0096,0.0542,0.0066
Truck,20,1.3283,1231.0692,3.0712,0.0401,0.0117,0.1986,0.0383,0.4404,995.4456,2.0174,0.0065,0.0094,0.0423,0.0062
Truck,21,1.2704,1198.9333,3.0121,0.0388,0.0114,0.1880,0.0371,0.4190,964.9603,1.9304,0.0064,0.0091,0.0397,0.0061
Truck,22,1.2124,1166.7975,2.9531,0.0376,0.0111,0.1775,0.0359,0.3975,934.4750,1.8433,0.0062,0.0088,0.0370,0.0059
Truck,23,1.1545,1134.6616,2.8940,0.0363,0.0108,0.1669,0.0347,0.3761,903.9897,1.7562,0.0061,0.0085,0.0344,0.0058
Truck,24,1.0965,1102.5258,2.8350,0.0350,0.0105,0.1564,0.0335,0.3546,873.5044,1.6692,0.0059,0.0082,0.0317,0.0057
Truck,25,1.0386,1070.3899,2.7759,0.0338,0.0102,0.1458,0.0323,0.3332,843.0192,1.5821,0.0058,0.0079,0.0290,0.0055
Truck,26,1.0089,1057.3247,2.7566,0.0337,0.0100,0.1414,0.0322,0.3186,829.3296,1.5318,0.0057,0.0078,0.0275,0.0054
Truck,27,0.9792,1044.2595,2.7373,0.0336,0.0099,0.1371,0.0321,0.3039,815.6399,1.4814,0.0056,0.0077,0.0259,0.0054
Truck,28,0.9495,1031.1942,2.7180,0.0335,0.0098,0.1327,0.0320,0.2893,801.9503,1.4311,0.0055,0.0075,0.0244,0.0053
Truck,29,0.9198,1018.1290,2.6988,0.0334,0.0097,0.1283,0.0319,0.2747,788.2607,1.3808,0.0054,0.0074,0.0228,0.0052
Truck,30,0.8902,1005.0638,2.6795,0.0333,0.0095,0.1239,0.0318,0.2601,774.5711,1.3305,0.0053,0.0073,0.0213,0.0051
Truck,31,0.8697,1009.5733,2.6973,0.0337,0.0095,0.1210,0.0322,0.2617,772.3339,1.2970,0.0054,0.0072,0.0204,0.0052
Truck,32,0.8493,1014.0828,2.7152,0.0341,0.0095,0.1181,0.0326,0.2634,770.0966,1.2636,0.0055,0.0072,0.0195,0.0052
Truck,33,0.8289,1018.5923,2.7331,0.0345,0.0096,0.1152,0.0330,0.2650,767.8594,1.2302,0.0056,0.0071,0.0186,0.0053
Truck,34,0.8084,1023.1018,2.7509,0.0349,0.0096,0.1123,0.0333,0.2667,765.6222,1.1968,0.0056,0.0070,0.0177,0.0054
